family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Uses renewable source,Bill-calculation literacy,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.4797,0.9155,70,2.0,3.0,2.4,negligible
categorical,Uses renewable source,Province,energy~context,substantive,chi2,cramers_v,0.0,,,0.4798,0.9155,70,2.0,6.0,0.1714,negligible
categorical,Gender,Energy-rating awareness,demographic~behaviour,substantive,fisher,cramers_v,0.0384,,,0.4907,0.9155,70,2.0,2.0,3.5286,negligible
categorical,Gender,Professional wiring,demographic~energy,substantive,chi2,cramers_v,0.0,,,0.4961,0.9155,70,2.0,3.0,0.5571,negligible
categorical,Bill-calculation literacy,Energy-rating awareness,behaviour,substantive,chi2,cramers_v,0.0,,,0.4962,0.9155,70,3.0,2.0,3.8,negligible
categorical,Outer-wall material,Bill-calculation literacy,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.4976,0.9155,70,3.0,3.0,0.8,negligible
categorical,Main occupation,Energy-rating awareness,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.5039,0.9155,70,5.0,2.0,0.2714,negligible
categorical,House type,Bill-payment practice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.5047,0.9155,70,5.0,4.0,0.1,negligible
categorical,House type,Outer-wall material,dwelling,substantive,chi2,cramers_v,0.0,,,0.5079,0.9155,70,5.0,3.0,0.0571,negligible
categorical,Roof type,Educational attendance,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.509,0.9155,70,3.0,5.0,0.1,negligible
categorical,Night-lighting restraint,Meter-checking frequency,behaviour,substantive,chi2,cramers_v,0.0,,,0.511,0.9155,70,3.0,4.0,1.2,negligible
categorical,House type,Energy-rating awareness,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.5149,0.9155,70,5.0,2.0,0.2714,negligible
categorical,Educational attendance,Night-lighting restraint,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.5155,0.9155,70,5.0,3.0,0.0857,negligible
categorical,Solar user,Energy-rating awareness,energy~behaviour,substantive,fisher,cramers_v,0.0,,,0.5286,0.9247,70,2.0,2.0,4.3429,negligible
categorical,Bill-payment practice,Province,energy~context,substantive,chi2,cramers_v,0.0,,,0.5313,0.9247,70,4.0,6.0,0.1,negligible
categorical,Educational attendance,Ironing efficiency,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.5376,0.9247,70,5.0,5.0,0.0429,negligible
categorical,Roof type,Bill-calculation literacy,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.5403,0.9247,70,3.0,3.0,1.4,negligible
categorical,Roof type,Energy-rating awareness,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.551,0.9247,70,3.0,2.0,1.9,negligible
categorical,Solar user,Ironing efficiency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.5526,0.9247,70,2.0,5.0,0.6857,negligible
categorical,Professional wiring,Solar user,energy,substantive,chi2,cramers_v,0.0,,,0.5548,0.9247,70,3.0,2.0,0.6857,negligible
categorical,Bill-payment practice,Meter-checking frequency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.5671,0.9278,70,4.0,4.0,1.4,negligible
categorical,Any disconnection notice,Province,energy~context,substantive,chi2,cramers_v,0.0,,,0.5695,0.9278,70,2.0,6.0,0.2,negligible
categorical,House type,Gender,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.5713,0.9278,70,5.0,2.0,0.1857,negligible
categorical,Outer-wall material,Gender,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.5794,0.9281,70,3.0,2.0,0.7429,negligible
categorical,Roof type,Province,dwelling~context,substantive,chi2,cramers_v,0.0,,,0.5858,0.9281,70,3.0,6.0,0.1,negligible
categorical,Educational attendance,Solar user,demographic~energy,substantive,chi2,cramers_v,0.0,,,0.5885,0.9281,70,5.0,2.0,0.2286,negligible
categorical,Uses renewable source,Ironing efficiency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.5934,0.9281,70,2.0,5.0,0.5143,negligible
categorical,Bill-calculation literacy,Meter-checking frequency,behaviour,substantive,chi2,cramers_v,0.0,,,0.6003,0.9281,70,3.0,4.0,2.8,negligible
categorical,Outer-wall material,Energy-rating awareness,dwelling~behaviour,substantive,chi2,cramers_v,0.0,,,0.6015,0.9281,70,3.0,2.0,1.0857,negligible
categorical,Professional wiring,Any disconnection notice,energy,substantive,chi2,cramers_v,0.0,,,0.6072,0.9281,70,3.0,2.0,0.6,negligible
categorical,House type,Any disconnection notice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.6117,0.9281,70,5.0,2.0,0.2,negligible
categorical,Roof type,Relationship to head,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.617,0.9281,70,3.0,7.0,0.1,negligible
categorical,Bill-payment practice,Uses renewable source,energy,substantive,chi2,cramers_v,0.0,,,0.6204,0.9281,70,4.0,2.0,1.2,negligible
categorical,Professional wiring,Uses renewable source,energy,substantive,chi2,cramers_v,0.0,,,0.6315,0.9374,70,3.0,2.0,0.5143,negligible
categorical,Solar user,Meter-checking frequency,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.6479,0.9479,70,2.0,4.0,3.2,negligible
categorical,Construction period,Professional wiring,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.6523,0.9479,70,6.0,3.0,0.2571,negligible
categorical,Roof type,Main occupation,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.6564,0.9479,70,3.0,5.0,0.1,negligible
categorical,Main occupation,Meter-checking frequency,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.6585,0.9479,70,5.0,4.0,0.2,negligible
